series;x;y;z
SeriesA;1;1;1.546493902
SeriesB;1;1;1.546493902
SeriesA;1;2;1.546493902
SeriesB;1;2;1.546493902
SeriesA;1;3;1.546493902
SeriesB;1;3;1.546493902
SeriesA;1;4;1.546493902
SeriesB;1;4;1.546493902
SeriesA;1;5;1.546493902
SeriesB;1;5;1.546493902
SeriesA;1;6;1.546493902
SeriesB;1;6;1.546493902
SeriesA;1;7;1.546493902
SeriesB;1;7;1.546493902
SeriesA;1;8;1.546493902
SeriesB;1;8;1.546493902
SeriesA;1;9;1.546493902
SeriesB;1;9;1.546493902
SeriesA;1;10;1.546493902
SeriesB;1;10;1.546493902
SeriesA;1;11;1.546493902
SeriesB;1;11;1.546493902
SeriesA;1;12;1.546493902
SeriesB;1;12;1.546493902
SeriesA;1;13;1.546493902
SeriesB;1;13;1.546493902
SeriesA;1;14;1.546493902
SeriesB;1;14;1.546493902
SeriesA;1;15;1.546493902
SeriesB;1;15;1.546493902
SeriesA;1;16;1.546493902
SeriesB;1;16;1.546493902
SeriesA;1;17;1.546493902
SeriesB;1;17;1.546493902
SeriesA;1;18;1.546493902
SeriesB;1;18;1.546493902
SeriesA;1;19;1.546493902
SeriesB;1;19;1.546493902
SeriesA;1;20;1.546493902
SeriesB;1;20;1.546493902
SeriesA;1;21;1.546493902
SeriesB;1;21;1.546493902
SeriesA;1;22;1.546493902
SeriesB;1;22;1.546493902
SeriesA;1;23;1.546493902
SeriesB;1;23;1.546493902
SeriesA;1;24;1.546493902
SeriesB;1;24;1.546493902
SeriesA;1;25;1.546493902
SeriesB;1;25;1.546493902
SeriesA;1;26;1.546493902
SeriesB;1;26;1.546493902
SeriesA;1;27;1.546493902
SeriesB;1;27;1.546493902
SeriesA;1;28;1.546493902
SeriesB;1;28;1.546493902
SeriesA;1;29;1.546493902
SeriesB;1;29;1.546493902
SeriesA;1;30;1.546493902
SeriesB;1;30;1.546493902
SeriesA;1;31;1.546493902
SeriesB;1;31;1.546493902
SeriesA;1;32;1.546493902
SeriesB;1;32;1.546493902
SeriesA;1;33;1.546493902
SeriesB;1;33;1.546493902
SeriesA;1;34;1.546493902
SeriesB;1;34;1.546493902
SeriesA;1;35;1.546493902
SeriesB;1;35;1.546493902
SeriesA;1;36;1.546493902
SeriesB;1;36;1.546493902
SeriesA;1;37;1.546493902
SeriesB;1;37;1.546493902
SeriesA;1;38;1.546493902
SeriesB;1;38;1.546493902
SeriesA;1;39;1.546493902
SeriesB;1;39;1.546493902
SeriesA;1;40;1.546493902
SeriesB;1;40;1.546493902
SeriesA;1;41;1.546493902
SeriesB;1;41;1.546493902
SeriesA;1;42;1.546493902
SeriesB;1;42;1.546493902
SeriesA;1;43;1.546493902
SeriesB;1;43;1.546493902
SeriesA;1;44;1.546493902
SeriesB;1;44;1.546493902
SeriesA;1;45;1.546493902
SeriesB;1;45;1.546493902
SeriesA;1;46;1.546493902
SeriesB;1;46;1.546493902
SeriesA;1;47;1.546493902
SeriesB;1;47;1.546493902
SeriesA;1;48;1.546493902
SeriesB;1;48;1.546493902
SeriesA;1;49;1.546493902
SeriesB;1;49;1.546493902
SeriesA;1;50;1.546493902
SeriesB;1;50;1.546493902
SeriesA;1;51;1.546493902
SeriesB;1;51;1.546493902
SeriesA;1;52;1.546493902
SeriesB;1;52;1.546493902
SeriesA;1;53;1.546493902
SeriesB;1;53;1.546493902
SeriesA;1;54;1.546493902
SeriesB;1;54;1.546493902
SeriesA;1;55;1.546493902
SeriesB;1;55;1.546493902
SeriesA;1;56;1.546493902
SeriesB;1;56;1.546493902
SeriesA;1;57;1.546493902
SeriesB;1;57;1.546493902
SeriesA;1;58;1.546493902
SeriesB;1;58;1.546493902
SeriesA;1;59;1.546493902
SeriesB;1;59;1.546493902
SeriesA;1;60;1.546493902
SeriesB;1;60;1.546493902
SeriesA;1;61;1.546493902
SeriesB;1;61;1.546493902
SeriesA;1;62;1.546493902
SeriesB;1;62;1.546493902
SeriesA;1;63;1.546493902
SeriesB;1;63;1.546493902
SeriesA;1;64;1.546493902
SeriesB;1;64;1.546493902
SeriesA;1;65;1.546493902
SeriesB;1;65;1.546493902
SeriesA;1;66;1.546493902
SeriesB;1;66;1.546493902
SeriesA;1;67;1.546493902
SeriesB;1;67;1.546493902
SeriesA;1;68;1.546493902
SeriesB;1;68;1.546493902
SeriesA;1;69;1.546493902
SeriesB;1;69;1.546493902
SeriesA;1;70;1.546493902
SeriesB;1;70;1.546493902
SeriesA;1;71;1.546493902
SeriesB;1;71;1.546493902
SeriesA;1;72;1.546493902
SeriesB;1;72;1.546493902
SeriesA;1;73;1.546493902
SeriesB;1;73;1.546493902
SeriesA;1;74;1.546493902
SeriesB;1;74;1.546493902
SeriesA;1;75;1.546493902
SeriesB;1;75;1.546493902
SeriesA;1;76;1.546493902
SeriesB;1;76;1.546493902
SeriesA;1;77;1.546493902
SeriesB;1;77;1.546493902
SeriesA;1;78;1.546493902
SeriesB;1;78;1.546493902
SeriesA;1;79;1.546493902
SeriesB;1;79;1.546493902
SeriesA;1;80;1.546493902
SeriesB;1;80;1.546493902
SeriesA;1;81;1.546493902
SeriesB;1;81;1.546493902
SeriesA;1;82;1.546493902
SeriesB;1;82;1.546493902
SeriesA;1;83;1.546493902
SeriesB;1;83;1.546493902
SeriesA;1;84;1.546493902
SeriesB;1;84;1.546493902
SeriesA;1;85;1.546493902
SeriesB;1;85;1.546493902
SeriesA;1;86;1.546493902
SeriesB;1;86;1.546493902
SeriesA;1;87;1.546493902
SeriesB;1;87;1.546493902
SeriesA;1;88;1.546493902
SeriesB;1;88;1.546493902
SeriesA;1;89;1.546493902
SeriesB;1;89;1.546493902
SeriesA;1;90;1.546493902
SeriesB;1;90;1.546493902
SeriesA;1;91;1.546493902
SeriesB;1;91;1.546493902
SeriesA;1;92;1.546493902
SeriesB;1;92;1.546493902
SeriesA;1;93;1.546493902
SeriesB;1;93;1.546493902
SeriesA;1;94;1.546493902
SeriesB;1;94;1.546493902
SeriesA;1;95;1.546493902
SeriesB;1;95;1.546493902
SeriesA;1;96;1.546493902
SeriesB;1;96;1.546493902
SeriesA;1;97;1.546493902
SeriesB;1;97;1.546493902
SeriesA;1;98;1.546493902
SeriesB;1;98;1.546493902
SeriesA;1;99;1.546493902
SeriesB;1;99;1.546493902
SeriesA;1;100;1.546493902
SeriesB;1;100;1.546493902
SeriesA;1;101;1.546493902
SeriesB;1;101;1.546493902
SeriesA;1;102;1.546493902
SeriesB;1;102;1.546493902
SeriesA;1;103;1.546493902
SeriesB;1;103;1.546493902
SeriesA;1;104;1.546493902
SeriesB;1;104;1.546493902
SeriesA;1;105;1.546493902
SeriesB;1;105;1.546493902
SeriesA;1;106;1.546493902
SeriesB;1;106;1.546493902
SeriesA;1;107;1.546493902
SeriesB;1;107;1.546493902
SeriesA;1;108;1.546493902
SeriesB;1;108;1.546493902
SeriesA;1;109;1.546493902
SeriesB;1;109;1.546493902
SeriesA;1;110;1.546493902
SeriesB;1;110;1.546493902
SeriesA;1;111;1.546493902
SeriesB;1;111;1.546493902
SeriesA;1;112;1.546493902
SeriesB;1;112;1.546493902
SeriesA;1;113;1.546493902
SeriesB;1;113;1.546493902
SeriesA;1;114;1.546493902
SeriesB;1;114;1.546493902
SeriesA;1;115;1.546493902
SeriesB;1;115;1.546493902
SeriesA;1;116;1.546493902
SeriesB;1;116;1.546493902
SeriesA;1;117;1.546493902
SeriesB;1;117;1.546493902
SeriesA;1;118;1.546493902
SeriesB;1;118;1.546493902
SeriesA;1;119;1.546493902
SeriesB;1;119;1.546493902
SeriesA;1;120;1.546493902
SeriesB;1;120;1.546493902
SeriesA;1;121;1.546493902
SeriesB;1;121;1.546493902
SeriesA;1;122;1.546493902
SeriesB;1;122;1.546493902
SeriesA;1;123;1.546493902
SeriesB;1;123;1.546493902
SeriesA;1;124;1.546493902
SeriesB;1;124;1.546493902
SeriesA;1;125;1.546493902
SeriesB;1;125;1.546493902
SeriesA;1;126;1.546493902
SeriesB;1;126;1.546493902
SeriesA;1;127;1.546493902
SeriesB;1;127;1.546493902
SeriesA;1;128;1.546493902
