series;x;y;z
SeriesA;1;1;0.309782609
SeriesB;1;1;0.309782609
SeriesA;1;2;0.309782609
SeriesB;1;2;0.309782609
SeriesA;1;3;0.309782609
SeriesB;1;3;0.309782609
SeriesA;1;4;0.309782609
SeriesB;1;4;0.309782609
SeriesA;1;5;0.309782609
SeriesB;1;5;0.309782609
SeriesA;1;6;0.309782609
SeriesB;1;6;0.309782609
SeriesA;1;7;0.309782609
SeriesB;1;7;0.309782609
SeriesA;1;8;0.309782609
SeriesB;1;8;0.309782609
SeriesA;1;9;0.309782609
SeriesB;1;9;0.309782609
SeriesA;2;1;0.184659091
SeriesB;2;1;0.184659091
SeriesA;2;2;0.225694444
SeriesB;2;2;0.225694444
SeriesA;2;3;0.505777311
SeriesB;2;3;0.225694444
SeriesA;2;4;0.225694444
SeriesB;2;4;0.41875
SeriesA;2;5;0.20923913
SeriesB;2;5;0.505777311
SeriesA;2;6;0.20923913
SeriesB;2;6;0.505777311
SeriesA;2;7;0.264204545
SeriesB;2;7;0.264204545
SeriesA;2;8;0.19047619
SeriesB;2;8;0.264204545
SeriesA;2;9;0.300595238
SeriesB;2;9;0.309782609
SeriesA;3;1;0.270833333
SeriesB;3;1;0.270833333
SeriesA;3;2;0.334821429
SeriesB;3;2;0.334821429
SeriesA;3;3;0.334821429
SeriesB;3;3;0.334821429
SeriesA;3;4;0.323611111
SeriesB;3;4;0.323611111
SeriesA;3;5;0.184659091
SeriesB;3;5;0.369747899
SeriesA;3;6;0.230113636
SeriesB;3;6;0.369747899
SeriesA;3;7;0.204545455
SeriesB;3;7;0.327205882
SeriesA;3;8;0.19047619
SeriesB;3;8;0.327205882
SeriesA;3;9;0.236111111
SeriesB;3;9;0.159375
SeriesA;4;1;0.270833333
SeriesB;4;1;0.270833333
SeriesA;4;2;0.334821429
SeriesB;4;2;0.334821429
SeriesA;4;3;0.334821429
SeriesB;4;3;0.334821429
SeriesA;4;4;0.432738095
SeriesB;4;4;0.432738095
SeriesA;4;5;0.30625
SeriesB;4;5;0.482417582
SeriesA;4;6;0.397321429
SeriesB;4;6;0.482417582
SeriesA;4;7;0.178571429
SeriesB;4;7;0.191176471
SeriesA;4;8;0.1375
SeriesB;4;8;0.16953125
SeriesA;4;9;0.176470588
SeriesB;4;9;0.159375
SeriesA;5;1;0.432738095
SeriesB;5;1;0.432738095
SeriesA;5;2;0.432738095
SeriesB;5;2;0.432738095
SeriesA;5;3;0.432738095
SeriesB;5;3;0.432738095
SeriesA;5;4;0.432738095
SeriesB;5;4;0.432738095
SeriesA;5;5;0.432738095
SeriesB;5;5;0.432738095
SeriesA;5;6;0.282738095
SeriesB;5;6;0.432738095
SeriesA;5;7;0.21875
SeriesB;5;7;0.303846154
SeriesA;5;8;0.196428571
SeriesB;5;8;0.14453125
SeriesA;5;9;0.08203125
SeriesB;5;9;0.130208333
SeriesA;6;1;0.507142857
SeriesB;6;1;0.507142857
SeriesA;6;2;0.328571429
SeriesB;6;2;0.328571429
SeriesA;6;3;0.328571429
SeriesB;6;3;0.328571429
SeriesA;6;4;0.328571429
SeriesB;6;4;0.328571429
SeriesA;6;5;0.328571429
SeriesB;6;5;0.328571429
SeriesA;6;6;0.282738095
SeriesB;6;6;0.282738095
SeriesA;6;7;0.104166667
SeriesB;6;7;0.254166667
SeriesA;6;8;0.139423077
SeriesB;6;8;0.153846154
SeriesA;6;9;0.033333333
SeriesB;6;9;0.130208333
SeriesA;7;1;0.507142857
SeriesB;7;1;0.507142857
SeriesA;7;2;0.328571429
SeriesB;7;2;0.328571429
SeriesA;7;3;0.178571429
SeriesB;7;3;0.178571429
SeriesA;7;4;0.178571429
SeriesB;7;4;0.178571429
SeriesA;7;5;0.178571429
SeriesB;7;5;0.178571429
SeriesA;7;6;0.178571429
SeriesB;7;6;0.178571429
SeriesA;7;7;0.104166667
SeriesB;7;7;0.104166667
SeriesA;7;8;0.15
SeriesB;7;8;0.104166667
SeriesA;7;9;0.033333333
SeriesB;7;9;0.089285714
SeriesA;8;1;0.507142857
SeriesB;8;1;0.507142857
SeriesA;8;2;0.178571429
SeriesB;8;2;0.178571429
SeriesA;8;3;0.178571429
SeriesB;8;3;0.178571429
SeriesA;8;4;0.178571429
SeriesB;8;4;0.178571429
SeriesA;8;5;0.178571429
SeriesB;8;5;0.178571429
SeriesA;8;6;0.178571429
SeriesB;8;6;0.178571429
SeriesA;8;7;0
SeriesB;8;7;0
SeriesA;8;8;0.178571429
SeriesB;8;8;0
SeriesA;8;9;0
SeriesB;8;9;0.089285714
SeriesA;9;1;0.507142857
SeriesB;9;1;0.507142857
SeriesA;9;2;0.178571429
SeriesB;9;2;0.178571429
SeriesA;9;3;0.178571429
SeriesB;9;3;0
SeriesA;9;4;0.178571429
SeriesB;9;4;0
SeriesA;9;5;0.178571429
SeriesB;9;5;0
SeriesA;9;6;0.178571429
SeriesB;9;6;0
SeriesA;9;7;0
SeriesB;9;7;0
SeriesA;9;8;0
SeriesB;9;8;0
SeriesA;9;9;0
SeriesB;9;9;0
